epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4981.8,0.60015,0.4714,1.20494,0.97387,0.95147,0.97602,0.88414,0.48566,0.28414,1.07513,0.007921,0.007921,0.007921
44,5096.77,0.59663,0.47376,1.20233,0.98084,0.9514,0.978,0.88811,0.48298,0.27306,1.07405,0.0078715,0.0078715,0.0078715
45,5212.64,0.58223,0.45835,1.18703,0.97292,0.95255,0.97828,0.89426,0.47095,0.2793,1.06885,0.007822,0.007822,0.007822
46,5328.28,0.58258,0.4626,1.19264,0.9766,0.94894,0.97785,0.89127,0.46777,0.27713,1.06863,0.0077725,0.0077725,0.0077725
47,5444.38,0.57785,0.45437,1.18605,0.97591,0.95484,0.97757,0.89306,0.468,0.28069,1.0649,0.007723,0.007723,0.007723
48,5560.23,0.57407,0.44854,1.17993,0.97361,0.95434,0.97851,0.89708,0.45443,0.2684,1.05792,0.0076735,0.0076735,0.0076735
49,5676.07,0.56927,0.44137,1.17562,0.97399,0.95595,0.97849,0.90227,0.46098,0.27235,1.05433,0.007624,0.007624,0.007624
50,5791.89,0.55976,0.43724,1.16832,0.98122,0.94922,0.97863,0.89595,0.46578,0.25946,1.0647,0.0075745,0.0075745,0.0075745
51,5907.25,0.56279,0.4365,1.16806,0.97533,0.95631,0.97833,0.90031,0.46072,0.26187,1.06231,0.007525,0.007525,0.007525
52,6022.97,0.5573,0.43431,1.16479,0.97452,0.94944,0.97792,0.89628,0.45821,0.26102,1.06165,0.0074755,0.0074755,0.0074755
53,6138.8,0.55355,0.43018,1.16414,0.97934,0.95409,0.97773,0.89764,0.4541,0.26005,1.06047,0.007426,0.007426,0.007426
54,6254.49,0.54835,0.42678,1.16046,0.97428,0.95582,0.9781,0.90382,0.44968,0.25639,1.05367,0.0073765,0.0073765,0.0073765
55,6370.08,0.54312,0.4227,1.15496,0.97344,0.95367,0.97727,0.89774,0.44577,0.24948,1.05055,0.007327,0.007327,0.007327
56,6485.58,0.54484,0.42095,1.15656,0.98179,0.95259,0.97994,0.90257,0.44246,0.24832,1.05001,0.0072775,0.0072775,0.0072775
57,6600.63,0.53462,0.41407,1.14766,0.97836,0.96171,0.97989,0.90237,0.44355,0.24478,1.0485,0.007228,0.007228,0.007228
