epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2942.96,0.73644,0.61663,1.35406,0.91297,0.86369,0.9414,0.77572,0.72198,0.57547,1.37438,0.007921,0.007921,0.007921
44,3011.13,0.73263,0.61798,1.3535,0.89753,0.90918,0.95291,0.79292,0.69415,0.49969,1.35052,0.0078715,0.0078715,0.0078715
45,3079.13,0.72849,0.60852,1.34744,0.91001,0.91403,0.96105,0.79688,0.68861,0.47908,1.33444,0.007822,0.007822,0.007822
46,3147.06,0.72276,0.60509,1.33958,0.91519,0.90148,0.95359,0.79328,0.6884,0.49468,1.34541,0.0077725,0.0077725,0.0077725
47,3214.57,0.71064,0.59153,1.33151,0.9276,0.90309,0.96213,0.8015,0.70144,0.46402,1.3484,0.007723,0.007723,0.007723
48,3282.25,0.71532,0.60287,1.33484,0.9301,0.89762,0.95797,0.79927,0.68755,0.47359,1.33555,0.0076735,0.0076735,0.0076735
49,3350.37,0.71018,0.59385,1.33463,0.91302,0.90297,0.95515,0.79737,0.69041,0.48037,1.3476,0.007624,0.007624,0.007624
50,3418.62,0.71263,0.58773,1.33043,0.92052,0.88967,0.95344,0.80214,0.6884,0.49862,1.32679,0.0075745,0.0075745,0.0075745
51,3487.08,0.70624,0.58096,1.32776,0.89732,0.89527,0.94488,0.78438,0.70179,0.52591,1.33987,0.007525,0.007525,0.007525
52,3554.89,0.70237,0.58054,1.31921,0.9189,0.91408,0.95498,0.79904,0.6739,0.47325,1.34557,0.0074755,0.0074755,0.0074755
53,3622.77,0.69886,0.5774,1.319,0.93365,0.88169,0.96271,0.80225,0.69116,0.46894,1.33837,0.007426,0.007426,0.007426
54,3691.16,0.69783,0.57116,1.31825,0.93529,0.882,0.95668,0.80828,0.67378,0.47656,1.33202,0.0073765,0.0073765,0.0073765
55,3759.55,0.69842,0.5667,1.31345,0.91727,0.92112,0.96179,0.8058,0.69643,0.46401,1.33949,0.007327,0.007327,0.007327
56,3827.73,0.68173,0.55851,1.29939,0.9073,0.91433,0.95788,0.80823,0.67143,0.46518,1.33553,0.0072775,0.0072775,0.0072775
57,3895.37,0.68396,0.56609,1.29824,0.90834,0.91526,0.95802,0.80971,0.67676,0.46813,1.32744,0.007228,0.007228,0.007228
58,3963.57,0.68014,0.5534,1.29577,0.90507,0.91267,0.96118,0.80931,0.67615,0.47255,1.3109,0.0071785,0.0071785,0.0071785
59,4031.79,0.68949,0.5534,1.30758,0.91436,0.91332,0.95806,0.80537,0.68594,0.46543,1.3282,0.007129,0.007129,0.007129
60,4100.05,0.68093,0.55259,1.29716,0.91257,0.90709,0.96119,0.81468,0.67026,0.4572,1.31181,0.0070795,0.0070795,0.0070795
61,4168.83,0.67504,0.53639,1.29414,0.93237,0.90887,0.95955,0.81302,0.66129,0.4541,1.32077,0.00703,0.00703,0.00703
62,4236.91,0.67996,0.5475,1.30035,0.9244,0.89619,0.95617,0.80689,0.67452,0.46326,1.32771,0.0069805,0.0069805,0.0069805
63,4305.33,0.66549,0.53488,1.28577,0.92998,0.90487,0.95907,0.81623,0.66017,0.45573,1.31653,0.006931,0.006931,0.006931
64,4373.84,0.67284,0.53086,1.29177,0.89725,0.91025,0.95992,0.81126,0.66595,0.46457,1.31557,0.0068815,0.0068815,0.0068815
65,4442.13,0.6713,0.53947,1.292,0.88961,0.92825,0.95821,0.81163,0.67017,0.45914,1.31646,0.006832,0.006832,0.006832
66,4510.52,0.66474,0.53529,1.28613,0.91797,0.91055,0.96213,0.81727,0.67664,0.4524,1.3209,0.0067825,0.0067825,0.0067825
67,4578.81,0.65974,0.52067,1.28071,0.91388,0.92249,0.96437,0.81784,0.66587,0.44289,1.30913,0.006733,0.006733,0.006733
68,4647.43,0.65964,0.5232,1.27805,0.91773,0.91577,0.96231,0.81834,0.66025,0.44997,1.30398,0.0066835,0.0066835,0.0066835
69,4716.06,0.65279,0.5248,1.27081,0.90898,0.92394,0.95805,0.81242,0.6639,0.4514,1.3118,0.006634,0.006634,0.006634
70,4784.06,0.65201,0.51859,1.27503,0.90919,0.91039,0.9582,0.81321,0.66526,0.4523,1.31943,0.0065845,0.0065845,0.0065845
71,4851.95,0.65267,0.51189,1.26822,0.92885,0.91396,0.95724,0.81099,0.67636,0.45327,1.31082,0.006535,0.006535,0.006535
72,4920.15,0.64914,0.50892,1.2622,0.93023,0.9089,0.95845,0.8167,0.66326,0.43632,1.31126,0.0064855,0.0064855,0.0064855
73,4988.51,0.64943,0.5109,1.26531,0.92125,0.92071,0.95959,0.81567,0.66311,0.432,1.30504,0.006436,0.006436,0.006436
